Angle [deg],Speed [m/s],Distance [m],Fx [N],Fy [N],Fz [N],Mx [N*m],My [N*m],Mz [N*m],Ft [N],Ftot [N]
135.70,0.00,0.00,8.80,-9.30,-0.09,0.24,-0.30,-1.12,-4.35,12.80
135.70,0.00,0.00,8.47,-9.12,0.28,0.18,-0.31,-1.01,-3.93,12.46
135.70,0.00,0.00,8.30,-9.17,0.18,0.18,-0.29,-0.95,-3.68,12.37
135.70,0.00,0.00,8.28,-9.07,0.09,0.20,-0.26,-0.90,-3.51,12.28
135.70,0.00,0.00,8.45,-9.03,-0.28,0.23,-0.23,-0.97,-3.76,12.37
135.70,0.00,0.00,8.74,-9.10,-0.64,0.26,-0.20,-1.03,-4.01,12.64
135.70,0.00,0.00,9.14,-9.20,-0.83,0.28,-0.18,-1.12,-4.35,12.99
135.70,0.00,0.00,9.56,-9.40,-0.92,0.30,-0.19,-1.18,-4.60,13.44
135.70,0.00,0.00,9.85,-9.48,-0.74,0.31,-0.23,-1.18,-4.60,13.69
135.70,0.00,0.00,10.08,-9.62,-0.46,0.33,-0.29,-1.14,-4.43,13.94
135.70,0.00,0.00,10.20,-9.75,-0.37,0.35,-0.37,-1.08,-4.18,14.11
135.70,0.00,0.00,10.30,-9.77,-0.18,0.36,-0.41,-1.03,-4.01,14.20
135.70,0.00,0.00,10.45,-9.99,-0.28,0.41,-0.44,-1.01,-3.93,14.46
135.70,0.00,0.00,10.58,-10.11,-0.37,0.44,-0.41,-1.01,-3.93,14.64
135.70,0.00,0.00,11.03,-10.41,-0.64,0.47,-0.40,-1.05,-4.10,15.18
135.70,0.00,0.00,11.59,-10.46,-0.92,0.48,-0.37,-1.08,-4.18,15.64
135.70,0.00,0.00,12.18,-10.61,-1.01,0.48,-0.35,-1.14,-4.43,16.19
135.70,0.00,0.00,12.80,-10.86,-0.83,0.46,-0.36,-1.18,-4.60,16.81
135.70,0.00,0.00,13.32,-11.08,-0.64,0.47,-0.40,-1.20,-4.68,17.34
135.70,0.00,0.00,13.77,-11.38,-0.37,0.49,-0.46,-1.25,-4.85,17.86
135.70,0.00,0.00,14.04,-11.72,-0.37,0.57,-0.54,-1.29,-5.02,18.30
135.70,0.00,0.00,14.35,-12.16,-0.55,0.69,-0.63,-1.31,-5.10,18.82
135.70,0.00,0.00,14.77,-12.36,-0.92,0.79,-0.67,-1.38,-5.35,19.28
135.70,0.00,0.00,15.15,-12.73,-1.38,0.90,-0.70,-1.44,-5.60,19.84
135.70,0.00,0.00,15.47,-12.90,-1.56,0.94,-0.71,-1.55,-6.02,20.21
135.70,0.00,0.00,15.89,-13.10,-1.75,0.95,-0.69,-1.61,-6.27,20.67
135.70,0.00,0.00,16.09,-13.15,-1.47,0.92,-0.70,-1.66,-6.44,20.83
135.70,0.00,0.00,16.22,-13.27,-1.20,0.88,-0.71,-1.66,-6.44,20.99
135.70,0.00,0.00,16.29,-13.20,-0.92,0.82,-0.70,-1.63,-6.35,20.98
135.70,0.00,0.00,16.31,-13.30,-0.74,0.80,-0.71,-1.61,-6.27,21.06
135.70,0.00,0.00,16.48,-13.25,-0.64,0.78,-0.71,-1.61,-6.27,21.16
135.70,0.00,0.00,16.68,-13.30,-0.55,0.76,-0.70,-1.59,-6.19,21.34
135.79,0.00,0.00,16.85,-13.25,-0.46,0.77,-0.72,-1.59,-6.19,21.44
135.79,0.00,0.00,17.05,-13.18,-0.28,0.76,-0.74,-1.59,-6.19,21.55
135.79,0.00,0.00,17.29,-13.06,-0.18,0.76,-0.76,-1.57,-6.10,21.67
135.79,0.00,0.00,17.36,-12.99,-0.28,0.78,-0.76,-1.61,-6.27,21.68
135.79,0.00,0.00,17.34,-12.89,-0.55,0.79,-0.73,-1.63,-6.35,21.61
135.79,0.00,0.00,17.26,-12.96,-0.92,0.79,-0.67,-1.72,-6.69,21.61
135.79,0.00,0.00,17.12,-13.11,-1.38,0.79,-0.59,-1.83,-7.11,21.61
135.79,0.00,0.00,16.98,-13.25,-1.47,0.73,-0.52,-1.94,-7.52,21.59
135.79,0.00,0.00,16.71,-13.28,-1.47,0.68,-0.47,-1.98,-7.69,21.40
135.79,0.00,0.00,16.52,-13.23,-1.29,0.64,-0.46,-2.00,-7.77,21.20
135.79,0.00,0.00,16.17,-12.96,-0.92,0.61,-0.49,-1.91,-7.44,20.74
135.79,0.00,0.00,15.91,-12.71,-0.83,0.62,-0.51,-1.78,-6.94,20.38
135.79,0.00,0.00,15.63,-12.37,-0.74,0.62,-0.53,-1.61,-6.27,19.95
135.79,0.00,0.00,15.45,-12.05,-0.64,0.63,-0.55,-1.46,-5.68,19.61
135.79,0.00,0.00,15.23,-11.90,-0.64,0.60,-0.53,-1.31,-5.10,19.34
135.70,0.00,0.00,15.10,-11.78,-0.37,0.52,-0.49,-1.18,-4.60,19.16
135.70,0.00,0.00,14.95,-11.68,-0.18,0.45,-0.45,-1.12,-4.35,18.97
135.70,0.00,0.00,14.92,-11.58,-0.09,0.35,-0.37,-1.08,-4.18,18.89
135.70,0.00,0.00,14.76,-11.36,-0.09,0.30,-0.32,-1.03,-4.01,18.63
135.70,0.00,0.00,14.56,-10.95,-0.28,0.26,-0.25,-1.03,-4.01,18.22
135.70,0.00,0.00,14.28,-10.60,-0.46,0.25,-0.21,-0.99,-3.85,17.79
135.70,0.00,0.00,14.00,-10.26,-0.55,0.24,-0.19,-0.95,-3.68,17.36
135.70,0.00,0.00,13.69,-9.82,-0.46,0.22,-0.19,-0.86,-3.34,16.85
135.70,0.00,0.00,13.44,-9.57,-0.28,0.21,-0.20,-0.80,-3.09,16.50
135.70,0.01,0.00,13.26,-9.26,0.09,0.15,-0.21,-0.71,-2.76,16.17
135.70,0.01,0.00,13.05,-8.84,0.28,0.09,-0.17,-0.65,-2.51,15.77
135.70,0.01,0.00,12.90,-8.62,0.28,0.03,-0.12,-0.60,-2.34,15.51
135.70,0.01,0.00,12.84,-8.42,0.18,-0.02,-0.05,-0.58,-2.26,15.36
135.70,0.01,0.00,12.74,-8.40,0.00,-0.04,-0.01,-0.62,-2.42,15.26
135.70,0.01,0.00,12.84,-8.42,-0.18,-0.02,0.01,-0.65,-2.51,15.36
135.70,0.01,0.00,13.07,-8.57,-0.37,0.05,-0.03,-0.67,-2.59,15.63
135.62,0.01,0.00,13.19,-8.69,-0.55,0.14,-0.09,-0.67,-2.59,15.81
135.62,0.01,0.00,13.43,-8.69,-0.55,0.22,-0.17,-0.62,-2.42,16.01
135.62,0.01,0.00,13.60,-8.65,-0.64,0.26,-0.20,-0.56,-2.17,16.13
135.62,0.01,0.00,13.62,-8.38,-0.83,0.28,-0.18,-0.45,-1.76,16.01
135.62,0.01,0.00,13.61,-8.01,-0.74,0.23,-0.15,-0.37,-1.42,15.81
135.62,0.01,0.00,13.43,-7.69,-0.64,0.16,-0.10,-0.28,-1.09,15.49
135.62,0.01,0.00,13.37,-7.50,-0.55,0.11,-0.07,-0.26,-1.00,15.34
135.62,0.01,0.00,13.51,-7.35,-0.37,0.07,-0.06,-0.28,-1.09,15.39
135.62,0.01,0.00,13.71,-7.40,-0.37,0.07,-0.06,-0.32,-1.25,15.59
135.62,0.01,0.00,13.79,-7.70,-0.37,0.07,-0.06,-0.39,-1.50,15.80
135.62,0.01,0.00,13.82,-7.79,-0.46,0.09,-0.06,-0.43,-1.67,15.87
135.53,0.01,0.00,13.58,-7.91,-0.55,0.11,-0.07,-0.45,-1.76,15.73
135.53,0.01,0.00,13.19,-7.93,-0.46,0.12,-0.09,-0.41,-1.59,15.40
135.53,0.01,0.00,12.84,-7.66,-0.37,0.12,-0.11,-0.32,-1.25,14.95
135.53,0.01,0.00,12.70,-7.17,-0.09,0.09,-0.12,-0.24,-0.92,14.59
135.53,0.01,0.00,12.82,-6.93,0.09,0.05,-0.11,-0.15,-0.59,14.57
135.53,0.01,0.00,13.20,-6.66,0.18,0.00,-0.08,-0.09,-0.33,14.79
135.53,0.01,0.00,13.58,-6.40,0.09,-0.03,-0.03,-0.02,-0.08,15.02
135.53,0.01,0.00,13.85,-6.38,-0.09,-0.04,0.01,0.02,0.08,15.25
135.44,0.01,0.00,13.95,-6.40,-0.46,-0.04,0.07,0.06,0.25,15.36
135.44,0.01,0.00,13.83,-6.40,-0.74,-0.00,0.08,0.09,0.33,15.25
135.44,0.01,0.00,13.59,-6.52,-0.74,-0.00,0.08,0.13,0.50,15.09
135.44,0.01,0.00,13.49,-6.49,-0.46,-0.04,0.07,0.15,0.59,14.98
135.44,0.01,0.00,13.39,-6.47,-0.09,-0.07,0.04,0.17,0.67,14.87
135.44,0.01,0.00,13.27,-6.34,0.28,-0.15,0.06,0.17,0.67,14.71
135.44,0.01,0.00,13.21,-6.15,0.46,-0.19,0.07,0.19,0.75,14.58
135.44,0.01,0.00,13.09,-6.02,0.37,-0.19,0.09,0.19,0.75,14.41
135.35,0.01,0.00,13.04,-6.19,0.28,-0.17,0.08,0.19,0.75,14.44
135.35,0.01,0.00,12.97,-6.38,0.09,-0.13,0.07,0.19,0.75,14.46
135.35,0.01,0.00,12.98,-6.75,-0.09,-0.09,0.06,0.17,0.67,14.63
135.35,0.01,0.00,12.89,-7.09,0.00,-0.11,0.07,0.17,0.67,14.72
135.35,0.01,0.00,12.82,-7.16,0.18,-0.15,0.08,0.15,0.59,14.69
135.35,0.01,0.00,12.80,-7.06,0.28,-0.20,0.11,0.13,0.50,14.62
135.35,0.01,0.00,12.64,-6.84,0.55,-0.26,0.12,0.11,0.42,14.39
135.35,0.02,0.00,12.64,-6.48,0.64,-0.28,0.13,0.06,0.25,14.21
135.26,0.01,0.00,12.72,-6.14,0.74,-0.30,0.14,0.06,0.25,14.15
135.26,0.01,0.00,12.84,-6.01,0.92,-0.29,0.10,0.04,0.17,14.21
135.26,0.01,0.00,13.04,-6.06,1.01,-0.28,0.07,0.00,0.00,14.42
135.26,0.01,0.00,13.16,-6.19,0.92,-0.26,0.07,0.00,0.00,14.58
135.26,0.01,0.00,13.29,-6.31,0.64,-0.24,0.04,0.00,0.00,14.73
135.26,0.02,0.00,13.44,-6.53,0.37,-0.18,0.03,0.02,0.08,14.95
135.26,0.02,0.00,13.54,-6.56,-0.09,-0.10,0.03,0.00,0.00,15.04
135.26,0.02,0.00,13.71,-6.51,-0.37,-0.03,0.05,0.06,0.25,15.18
135.18,0.01,0.00,13.78,-6.44,-0.74,0.02,0.05,0.09,0.33,15.23
135.18,0.01,0.00,13.80,-6.29,-0.83,0.04,0.04,0.15,0.59,15.19
135.18,0.01,0.00,13.75,-6.10,-0.64,0.00,0.06,0.17,0.67,15.05
135.18,0.01,0.00,13.65,-6.07,-0.55,-0.04,0.09,0.19,0.75,14.95
135.18,0.01,0.00,13.48,-6.12,-0.18,-0.10,0.08,0.19,0.75,14.80
135.18,0.02,0.00,13.34,-6.26,-0.09,-0.12,0.09,0.28,1.09,14.73
135.18,0.02,0.00,13.27,-6.33,0.09,-0.13,0.07,0.32,1.25,14.70
135.18,0.02,0.00,13.19,-6.40,0.18,-0.10,0.03,0.43,1.67,14.67
135.09,0.01,0.00,13.03,-6.45,0.18,-0.10,0.03,0.49,1.92,14.54
135.09,0.01,0.00,12.98,-6.37,0.18,-0.10,0.03,0.47,1.84,14.46
135.09,0.01,0.00,12.92,-6.18,0.28,-0.15,0.06,0.43,1.67,14.32
135.09,0.01,0.00,12.94,-5.91,0.18,-0.18,0.10,0.34,1.34,14.23
135.09,0.01,0.00,12.99,-5.74,0.09,-0.21,0.15,0.28,1.09,14.20
135.09,0.01,0.00,13.06,-5.67,-0.09,-0.23,0.16,0.24,0.92,14.23
135.09,0.01,0.00,13.28,-5.82,-0.28,-0.22,0.17,0.22,0.84,14.50
135.00,0.02,0.00,13.43,-6.04,-0.46,-0.18,0.12,0.24,0.92,14.73
135.00,0.01,0.00,13.56,-6.28,-0.46,-0.16,0.10,0.26,1.00,14.95
135.00,0.01,0.00,13.76,-6.70,-0.46,-0.11,0.05,0.26,1.00,15.31
135.00,0.01,0.00,13.94,-7.02,-0.37,-0.07,0.04,0.24,0.92,15.61
135.00,0.01,0.00,14.06,-7.14,-0.37,-0.04,0.01,0.17,0.67,15.78
135.00,0.01,0.00,14.26,-7.20,-0.28,-0.03,0.03,0.19,0.75,15.98
134.91,0.01,0.01,14.43,-7.15,-0.37,-0.03,0.05,0.19,0.75,16.11
134.91,0.01,0.01,14.48,-7.10,-0.46,-0.04,0.07,0.22,0.84,16.13
134.91,0.01,0.01,14.42,-6.91,-0.37,-0.08,0.10,0.24,0.92,16.00
134.91,0.01,0.01,14.25,-6.95,-0.37,-0.11,0.12,0.24,0.92,15.86
134.91,0.01,0.01,14.06,-6.90,-0.18,-0.15,0.13,0.22,0.84,15.66
134.91,0.01,0.01,13.72,-6.99,-0.09,-0.14,0.11,0.15,0.59,15.40
134.91,0.01,0.01,13.48,-7.11,0.09,-0.16,0.10,0.06,0.25,15.24
134.91,0.01,0.01,13.28,-7.05,0.18,-0.15,0.08,-0.02,-0.08,15.04
134.82,0.01,0.01,13.21,-7.12,0.37,-0.17,0.06,-0.11,-0.42,15.01
134.82,0.01,0.01,13.09,-7.12,0.28,-0.15,0.06,-0.15,-0.59,14.90
134.82,0.01,0.01,13.11,-7.22,0.18,-0.13,0.05,-0.13,-0.50,14.97
134.82,0.01,0.01,13.21,-7.24,-0.18,-0.07,0.06,-0.09,-0.33,15.07
134.82,0.01,0.01,13.26,-7.44,-0.37,-0.03,0.05,0.02,0.08,15.21
134.82,0.01,0.01,13.26,-7.44,-0.64,0.03,0.03,0.09,0.33,15.22
134.82,0.01,0.01,13.12,-7.58,-0.74,0.05,0.02,0.11,0.42,15.17
134.82,0.01,0.01,13.05,-7.65,-0.55,0.04,0.01,0.09,0.33,15.14
134.82,0.01,0.01,12.92,-7.53,-0.18,0.01,-0.02,0.02,0.08,14.96
134.82,0.01,0.01,12.77,-7.31,0.00,-0.01,-0.04,-0.06,-0.25,14.71
