Angle [deg],Speed [m/s],Distance [m],Fx [N],Fy [N],Fz [N],Mx [N*m],My [N*m],Mz [N*m],Ft [N],Ftot [N]
154.07,0.00,0.00,-6.14,-4.04,-0.18,0.08,-0.05,0.24,0.92,7.35
154.07,0.00,0.00,-6.02,-4.38,-0.28,0.07,-0.03,0.15,0.59,7.45
154.07,0.00,0.00,-5.99,-4.73,-0.28,0.07,-0.03,0.09,0.33,7.64
154.07,0.00,0.00,-6.02,-5.00,-0.18,0.08,-0.05,0.06,0.25,7.83
154.07,0.00,0.00,-6.32,-5.20,-0.09,0.06,-0.05,0.06,0.25,8.18
154.07,0.00,0.00,-6.52,-5.21,0.00,0.04,-0.05,0.11,0.42,8.35
154.07,0.00,0.00,-6.73,-5.05,0.09,0.01,-0.05,0.15,0.59,8.42
154.07,0.00,0.00,-6.90,-4.80,0.00,0.00,-0.04,0.22,0.84,8.41
154.07,0.00,0.00,-6.97,-4.54,-0.09,-0.01,-0.02,0.26,1.00,8.32
154.07,0.00,0.00,-6.78,-4.35,-0.37,-0.04,0.03,0.28,1.09,8.07
154.07,0.00,0.00,-6.59,-4.16,-0.55,-0.07,0.07,0.30,1.17,7.81
154.07,0.00,0.00,-6.35,-4.05,-0.55,-0.07,0.07,0.28,1.09,7.55
154.07,0.00,0.00,-6.19,-4.13,-0.37,-0.08,0.05,0.28,1.09,7.45
154.07,0.00,0.00,-6.23,-4.22,0.00,-0.03,-0.02,0.26,1.00,7.53
154.07,0.00,0.00,-6.42,-4.41,0.37,-0.02,-0.07,0.24,0.92,7.80
154.07,0.00,0.00,-6.63,-4.43,0.64,0.02,-0.13,0.22,0.84,7.99
154.07,0.00,0.00,-6.92,-4.62,0.74,-0.00,-0.13,0.22,0.84,8.35
154.07,0.00,0.00,-7.07,-4.55,0.55,-0.06,-0.08,0.22,0.84,8.43
154.07,0.00,0.00,-7.13,-4.46,0.18,-0.07,-0.02,0.19,0.75,8.41
154.07,0.00,0.00,-7.04,-4.28,-0.09,-0.11,0.03,0.24,0.92,8.24
154.07,0.00,0.00,-6.78,-4.35,-0.28,-0.10,0.05,0.22,0.84,8.06
154.07,0.00,0.00,-6.58,-4.33,-0.28,-0.03,0.02,0.24,0.92,7.88
154.07,0.00,0.00,-6.26,-4.49,-0.09,0.02,-0.03,0.17,0.67,7.71
