Angle [deg],Speed [m/s],Distance [m],Fx [N],Fy [N],Fz [N],Mx [N*m],My [N*m],Mz [N*m],Ft [N],Ftot [N]
224.82,0.00,0.00,9.07,2.49,-2.12,-0.66,-0.36,-0.11,-0.42,9.64
224.82,0.00,0.00,8.83,2.61,-1.93,-0.62,-0.35,-0.09,-0.33,9.41
224.82,0.00,0.00,8.59,2.73,-1.56,-0.59,-0.38,0.00,0.00,9.15
224.82,0.00,0.00,8.47,2.60,-1.10,-0.57,-0.43,0.06,0.25,8.92
224.82,0.00,0.00,8.37,2.58,-0.74,-0.57,-0.49,0.11,0.42,8.79
224.82,0.00,0.00,8.39,2.67,-0.64,-0.60,-0.53,0.15,0.59,8.83
224.82,0.00,0.00,8.42,2.77,-0.74,-0.62,-0.54,0.13,0.50,8.90
224.82,0.00,0.00,8.42,2.77,-1.10,-0.62,-0.48,0.06,0.25,8.93
224.82,0.00,0.00,8.32,2.75,-1.56,-0.59,-0.38,0.04,0.17,8.90
224.82,0.00,0.00,8.13,2.69,-1.75,-0.56,-0.32,0.00,0.00,8.74
224.82,0.00,0.00,7.93,2.64,-1.84,-0.53,-0.27,0.02,0.08,8.56
224.82,0.00,0.00,7.83,2.62,-1.66,-0.49,-0.26,0.06,0.25,8.42
224.82,0.00,0.00,7.86,2.71,-1.29,-0.46,-0.29,0.11,0.42,8.41
224.82,0.00,0.00,7.86,2.71,-0.92,-0.48,-0.37,0.17,0.67,8.36
224.82,0.00,0.00,7.98,2.84,-0.83,-0.51,-0.42,0.24,0.92,8.51
224.82,0.00,0.00,7.81,2.88,-0.83,-0.56,-0.47,0.30,1.17,8.37
224.82,0.00,0.00,7.62,2.83,-1.01,-0.63,-0.50,0.32,1.25,8.19
224.82,0.00,0.00,7.35,2.85,-1.20,-0.67,-0.52,0.37,1.42,7.97
224.82,0.00,0.00,7.10,2.60,-1.38,-0.68,-0.50,0.37,1.42,7.69
224.82,0.00,0.00,7.07,2.51,-1.47,-0.65,-0.45,0.32,1.25,7.65
224.82,0.00,0.00,7.24,2.46,-1.29,-0.58,-0.42,0.26,1.00,7.76
224.82,0.00,0.00,7.48,2.34,-1.10,-0.49,-0.36,0.17,0.67,7.92
224.82,0.00,0.00,7.71,2.49,-0.74,-0.41,-0.33,0.06,0.25,8.13
224.82,0.00,0.00,7.86,2.71,-0.37,-0.33,-0.31,-0.02,-0.08,8.32
224.82,0.00,0.00,7.81,2.88,-0.09,-0.29,-0.32,-0.02,-0.08,8.33
224.82,0.00,0.00,7.77,3.05,0.09,-0.28,-0.34,0.04,0.17,8.35
224.82,0.00,0.00,7.63,3.20,0.00,-0.30,-0.34,0.15,0.59,8.27
224.82,0.00,0.00,7.55,3.27,-0.09,-0.32,-0.35,0.30,1.17,8.23
224.82,0.00,0.00,7.53,3.17,-0.46,-0.35,-0.32,0.39,1.50,8.18
224.82,0.00,0.00,7.50,3.07,-0.83,-0.35,-0.26,0.41,1.59,8.15
