Angle [deg],Speed [m/s],Distance [m],Fx [N],Fy [N],Fz [N],Mx [N*m],My [N*m],Mz [N*m],Ft [N],Ftot [N]
57.30,0.00,0.00,4.49,-0.36,-0.74,-0.22,-0.44,-0.13,-0.50,4.56
57.30,0.00,0.00,4.31,-0.45,-0.83,-0.20,-0.43,-0.15,-0.59,4.41
57.30,0.00,0.00,4.31,-0.45,-1.01,-0.20,-0.47,-0.15,-0.59,4.45
57.30,0.00,0.00,4.23,-0.29,-1.10,-0.21,-0.49,-0.15,-0.59,4.38
57.22,0.00,0.00,4.32,-0.15,-1.20,-0.21,-0.52,-0.09,-0.33,4.49
57.22,0.00,0.00,4.40,-0.00,-0.92,-0.24,-0.51,-0.09,-0.33,4.50
57.22,0.00,0.00,4.41,0.10,-0.74,-0.28,-0.47,-0.06,-0.25,4.47
57.22,0.00,0.00,4.41,0.20,-0.46,-0.27,-0.41,-0.04,-0.17,4.44
57.22,0.00,0.00,4.06,0.22,-0.28,-0.25,-0.33,-0.04,-0.17,4.08
57.22,0.00,0.00,3.71,0.33,0.00,-0.21,-0.27,-0.02,-0.08,3.73
57.22,0.00,0.00,3.28,0.51,0.00,-0.17,-0.21,-0.02,-0.08,3.32
57.22,0.00,0.00,2.77,0.74,-0.09,-0.16,-0.20,0.02,0.08,2.86
57.22,0.00,0.00,2.33,0.81,-0.28,-0.14,-0.21,0.06,0.25,2.48
57.22,0.00,0.00,2.24,0.76,-0.28,-0.16,-0.24,0.09,0.33,2.38
57.22,0.00,0.00,2.23,0.66,-0.37,-0.18,-0.30,0.13,0.50,2.36
57.22,0.00,0.00,2.31,0.30,-0.18,-0.24,-0.35,0.09,0.33,2.33
57.22,0.00,0.00,2.38,-0.06,0.09,-0.29,-0.37,0.04,0.17,2.38
57.22,0.00,0.00,2.36,-0.36,0.28,-0.37,-0.39,0.04,0.17,2.40
57.22,0.00,0.00,2.26,-0.61,0.55,-0.40,-0.39,0.02,0.08,2.41
57.22,0.00,0.00,1.91,-0.59,0.55,-0.40,-0.39,0.02,0.08,2.07
57.22,0.00,0.00,1.74,-0.38,0.46,-0.37,-0.41,0.06,0.25,1.84
57.22,0.00,0.00,1.67,-0.02,0.18,-0.33,-0.41,0.11,0.42,1.68
57.22,0.00,0.00,1.86,0.27,-0.09,-0.29,-0.42,0.17,0.67,1.89
57.22,0.00,0.00,2.05,0.57,-0.09,-0.29,-0.42,0.24,0.92,2.13
57.22,0.00,0.00,2.32,0.71,0.00,-0.31,-0.43,0.30,1.17,2.43
57.22,0.00,0.00,2.42,0.85,0.18,-0.33,-0.41,0.30,1.17,2.57
