Angle [deg],Speed [m/s],Distance [m],Fx [N],Fy [N],Fz [N],Mx [N*m],My [N*m],Mz [N*m],Ft [N],Ftot [N]
246.27,0.00,0.00,5.71,2.94,-4.32,-0.89,-0.88,-0.17,-0.67,7.74
246.27,0.00,0.00,5.73,2.74,-4.51,-0.88,-0.80,-0.19,-0.75,7.79
246.27,0.00,0.00,5.58,2.52,-4.51,-0.88,-0.80,-0.15,-0.59,7.60
246.27,0.00,0.00,5.32,2.44,-4.23,-0.89,-0.90,-0.11,-0.42,7.22
246.27,0.00,0.00,5.24,2.38,-3.86,-0.91,-1.05,-0.06,-0.25,6.93
246.27,0.00,0.00,5.24,2.38,-3.31,-0.91,-1.21,0.00,0.00,6.64
246.27,0.00,0.00,5.24,2.38,-2.67,-0.86,-1.29,0.00,0.00,6.34
246.27,0.00,0.00,5.05,2.46,-2.21,-0.81,-1.29,-0.02,-0.08,6.04
246.27,0.00,0.00,5.04,2.56,-1.93,-0.73,-1.19,-0.04,-0.17,5.97
246.27,0.00,0.00,4.85,2.64,-1.75,-0.64,-1.03,-0.06,-0.25,5.80
246.27,0.00,0.00,4.74,2.88,-1.84,-0.58,-0.88,-0.02,-0.08,5.85
246.27,0.00,0.00,4.61,3.23,-1.93,-0.55,-0.79,0.00,0.00,5.95
246.27,0.00,0.00,4.59,3.43,-2.02,-0.54,-0.74,0.02,0.08,6.08
246.27,0.00,0.00,4.74,3.65,-2.02,-0.56,-0.77,0.04,0.17,6.32
246.27,0.00,0.00,4.92,3.67,-1.75,-0.53,-0.80,0.04,0.17,6.38
246.27,0.00,0.00,4.93,3.57,-1.38,-0.50,-0.82,0.00,0.00,6.24
246.27,0.00,0.00,4.94,3.47,-1.01,-0.44,-0.80,-0.04,-0.17,6.12
246.27,0.00,0.00,4.88,3.21,-0.64,-0.38,-0.75,-0.02,-0.08,5.88
246.27,0.00,0.00,4.73,2.98,-0.37,-0.31,-0.68,0.02,0.08,5.60
246.27,0.00,0.00,4.57,2.86,-0.37,-0.27,-0.58,0.11,0.42,5.40
246.27,0.00,0.00,4.47,2.91,-0.55,-0.27,-0.54,0.19,0.75,5.36
246.27,0.00,0.00,4.38,2.95,-0.64,-0.26,-0.48,0.28,1.09,5.32
246.18,0.00,0.00,4.46,3.01,-0.74,-0.25,-0.43,0.30,1.17,5.43
246.18,0.00,0.00,4.52,3.16,-0.46,-0.20,-0.39,0.24,0.92,5.54
246.18,0.00,0.00,4.42,3.30,0.00,-0.13,-0.36,0.17,0.67,5.52
246.18,0.00,0.00,4.41,3.40,0.55,-0.05,-0.35,0.09,0.33,5.60
246.18,0.00,0.00,4.38,3.71,1.01,0.02,-0.33,0.09,0.33,5.82
246.18,0.00,0.00,4.45,3.87,1.20,0.05,-0.30,0.09,0.33,6.01
246.18,0.00,0.00,4.68,4.15,1.01,0.05,-0.26,0.13,0.50,6.34
246.18,0.00,0.00,4.92,4.43,0.64,0.01,-0.24,0.17,0.67,6.65
246.18,0.00,0.00,5.08,4.55,0.18,-0.03,-0.20,0.22,0.84,6.82
246.18,0.00,0.00,5.16,4.61,0.00,-0.05,-0.20,0.17,0.67,6.92
246.18,0.00,0.00,4.99,4.59,-0.09,-0.05,-0.17,0.17,0.67,6.78
246.18,0.00,0.00,4.66,4.35,0.09,-0.04,-0.18,0.15,0.59,6.37
246.18,0.00,0.00,4.32,4.21,0.28,-0.02,-0.19,0.17,0.67,6.04
246.18,0.00,0.00,4.06,4.13,0.37,0.02,-0.15,0.15,0.59,5.81
246.18,0.00,0.00,3.88,4.21,0.46,0.05,-0.10,0.13,0.50,5.74
246.18,0.00,0.00,3.87,4.31,0.37,0.06,-0.05,0.11,0.42,5.81
246.18,0.00,0.00,3.94,4.48,0.28,0.07,0.01,0.04,0.17,5.97
246.18,0.00,0.00,4.01,4.64,0.18,0.07,0.03,0.04,0.17,6.13
246.18,0.00,0.00,4.01,4.64,0.18,0.07,0.03,0.04,0.17,6.13
246.18,0.00,0.00,4.10,4.59,0.18,0.07,0.03,0.09,0.33,6.16
246.18,0.00,0.00,4.11,4.49,0.37,0.09,0.02,0.11,0.42,6.10
246.18,0.00,0.00,4.28,4.61,0.46,0.11,0.03,0.15,0.59,6.31
246.18,0.00,0.00,4.36,4.67,0.55,0.14,0.08,0.17,0.67,6.41
246.18,0.00,0.00,4.43,4.83,0.64,0.15,0.09,0.17,0.67,6.59
246.18,0.00,0.00,4.51,4.89,0.64,0.15,0.09,0.13,0.50,6.69
246.18,0.00,0.00,4.62,4.75,0.46,0.14,0.10,0.13,0.50,6.64
246.18,0.00,0.00,4.65,4.45,0.09,0.10,0.12,0.13,0.50,6.44
246.18,0.00,0.00,4.69,4.05,-0.28,0.06,0.13,0.22,0.84,6.20
246.18,0.00,0.00,4.81,3.80,-0.74,0.00,0.14,0.24,0.92,6.17
246.18,0.00,0.00,4.72,3.74,-1.01,-0.02,0.17,0.28,1.09,6.11
246.18,0.00,0.00,4.70,3.95,-1.01,-0.02,0.17,0.30,1.17,6.22
246.18,0.00,0.00,4.50,4.23,-0.64,0.02,0.15,0.30,1.17,6.21
246.18,0.00,0.00,4.37,4.57,-0.09,0.05,0.06,0.26,1.00,6.33
246.18,-0.00,0.00,4.26,4.82,0.55,0.09,-0.02,0.24,0.92,6.45
246.18,-0.00,0.00,4.09,4.70,1.01,0.11,-0.13,0.26,1.00,6.31
246.18,-0.00,0.00,4.11,4.49,1.47,0.13,-0.20,0.30,1.17,6.27
246.18,-0.00,0.00,4.16,4.09,1.47,0.13,-0.20,0.32,1.25,6.01
